"Scientific Name","Common Name","Plant URL","Other Common Names","Other Scientific Names","Growth Form","Ecoregion III","Ecoregion IV","Min Height","Max Height","Min Spread","Max Spread","Leaf Retention","Lifespan","Soil","Light","Water","Native Habitat","Bloom Season","Bloom Color","Seasonal Interest","Wildlife Benefit","Maintenence","Comments","References"
"Acleisanthes obtusa","Vine Four O'Clock","https://www.npsot.org/posts/native-plant/acleisanthes-obtusa/","Berlandier's Trumpets,","Acleisanthes berlandieri, Acleisanthes greggii","Herbaceous, Vine","Gulf Coast Prairies and Marshes, Southern Texas Plains","Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Southern Subhumid Gulf Coastal Prairies, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub","4","5","4","5","Deciduous","Perennial","Calcareous, Clay, Dry, Sand, Well Drained","Sun, Part Shade","Low","Grassland, Woodland","Spring, Summer, Fall","Pink, White","Forage, Nectar","Deer, Hummingbirds, Moths","Drought tolerant with low water needs. Doesn't do well in wet conditions. Native habitat: grasslands, woodlands, shrubland.","Blooms April-November. Herb or climbing vine, often reaching the tops of small trees. Flowers are white or light pink, trumpet-shaped, fragrant and open at night. The bright green leaves are about 2 1/2 inches long and are consumed by white-tailed deer. The fruit is an accessory, like an apple, the fleshy part of the fruit doesn't come from the ovary, but from surrounding tissue.","1) http://floranorthamerica.org/Acleisanthes_obtusa#:~:text=Phenology:%20Flowering%20early%20spring%E2%80%93late,Elevation:%200%2D1800%20m, 2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19548#null, 3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=15355&locationType=County&mapType=Norma, 4) lhttps://www.wildflower.org/gallery/result.php?id_image=25332, 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acleisanthes+obtusa&formsubmit=Search+Terms"
"Acmella repens","Creeping Spotflower","https://www.npsot.org/posts/native-plant/acmella-oppositifolia-var-repens/","Oppositeleaf Spotflower","Acmella oppositifolia var. repens","Herbaceous","Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Northern Humid Gulf Coastal Prairies, Floodplains and Low Terraces, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Southern Tertiary Uplands","0.75","1","0.5","1","Deciduous","Perennial","Clay, Loam, Moist, Sand","Sun","Medium","Disturbed Areas, Sand Dunes & Beaches, Wetland","Summer, Fall","Green, Orange, Yellow","Nectar, Pollen, Seeds","Birds, Butterflies, Nectar Insects, Small Mammals","Excellent groundcover. Will survive occasional saltwater inundation. The flexible stems rise and fall with water levels, making them ideal for the rain garden or a container garden. Native habitat: shell-sand and blackwater swamps, disturbed, wet or drying sites.","Blooms July-November. Low growing with spreading branches. Dark green narrow leaves, sparsely dairy, with blunt-toothed margins. Golden, daisy-shaped flowers bloom throughout summer and fall. The fruit is a cypsela: a dry, one-seeded fruit, usually topped by pappus.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACOPR. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Acmella+repens&formsubmit=Search+Terms. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=185200#null, 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1964&locationType=County&mapType=Normal, 6) https://naturescapesofbeaufort.com/product/acmella-repens-opposite-leaf-spotflower-2/, 7) https://www.missouriplants.com/Acmella_repens_page.html"
"Acourtia runcinata","Featherleaf Desertpeony","https://www.npsot.org/posts/native-plant/acourtia-runcinata/","Peonia","Perezia runcinata","Herbaceous","Chihuahuan Deserts, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains","Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Coastal Sand Plain, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Southern Subhumid Gulf Coastal Prairies, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub","0.5","1","0.5","1","Deciduous","Perennial","Calcareous, Caliche, Clay, Dry, Limestone, Loam, Sand, Shallow, Well Drained","Part Shade","Low","Desert, Shrubland, Woodland","Spring, Summer","Pink, Purple","Nectar, Pollen","Butterflies, Nectar Insects","Low maintenance. Adapted to arid climates, its deep root system allows it to thrive in environments where water is scarce. Best in morning sun on well drained soil. Native habitat: Juniper forests, oak woodlands, desert scrub.","Blooms March-August. Its growth form is like that of a Dandelion, with spiny, deeply lobed, oblong leaves, forming a rosette. The root is a tuber. A single composite flower head grows on a leafless stem from the rosettes' center. The fruit is a cypsela: a dry, one-seeded fruit, usually topped by pappus.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36455#null, 2) https://www.wildflower.org/plants/result.php?id_plant=ACRU3, 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1970&locationType=County&mapType=Normal, 4) https://swbiodiversity.org/seinet/taxa/index.php?taxon=43498&clid=2946, 5) https://www.backyardnature.net/n/h/acourtia.htm, 6) https://www.picturethisai.com/wiki/Acourtia_runcinata.html, 7) https://www.selinawamucii.com/plants/asteraceae/acourtia-runcinata/, 8) https://www.jstor.org/stable/2426415, 9) https://oaktrust.library.tamu.edu/items/6953280a-3b46-4c5c-bb3a-c32044026e41"
"Acourtia wrightii","Brownfoot","https://www.npsot.org/posts/native-plant/acourtia-wrightii/","Pink Perezzia, Wright's Desertpeony","Perezia wrightii","Herbaceous","Chihuahuan Deserts","Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau","1.5","2","1.5","2","Semi Evergreen","Perennial","Calcareous, Dry, Gravelly, Limestone, Rocky, Sand","Part Shade","Low","Grassland, Woodland","Spring, Summer, Fall","Pink, White","Larval Host, Nectar, Pollen, Seeds","Bees, Birds, Butterflies","Brownfoot is valued for its drought tolerance and long blooming period, making it an excellent choice for xeriscaping, native plant gardens, and wildlife gardens. It is also used for erosion control due to its dense growth habit. It is relatively low maintenance, requiring minimal supplemental watering once established. While it is generally pest and disease-free, overwatering can lead to root rot. Native habitat: found on rocky slopes, in gravelly or sandy soils,","Blooms: May-November. An erect perennial herb with clasping leaves that are slightly wavy on the edges and finely toothed. The fragrant, rose-pink flower heads are massed in clusters at the top of the stems. Larval host: Snout Plume Moth (Hellinsia longifrons).","1) https://easyscape.com/species/Acourtia-wrightii%28Brownfoot%29  2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36457#null  3) https://portal.torcherbaria.org/portal/taxa/index.php?tid=2735  4) https://www.wildflower.org/plants/result.php?id_plant=ACWR5  5) https://southwestdesertflora.com/WebsiteFolders/All_Species/Asteraceae/Acourtia%20wrightii,%20Wright's%20Desertpeony.html#:~:text=Elevation:%201%2C200%20to%205%2C000%20feet,Threatened/Endangered%20Information:%20Unknown  6) https://www.spadefootnursery.com/perennials-a-b/acourtia-wrightii#:~:text=Acourtia%20wrightii,and%20probably%20other%20moth%20species. 7) http://www.texaswildbuds.com/acourtia-wrightii.html#:~:text=(Brownfoot)&text=Habitat:%20Gravelly%20or%20sandy%20soils,of%20Texas%22%20by%20Michael%20Eason. 8) https://easyscape.com/species/Acourtia-wrightii%28Brownfoot%29#:~:text=Growth%20Requirements%20*%20Sun:%20Full%20Sun%2C%20Part%20Shade.%20*%20Drainage:%20Medium%2C%20Fast."
"Adelia vaseyi","Vasey's Wild-lime","https://www.npsot.org/posts/native-plant/adelia-vaseyi/","","Euphorbia vaseyi, Ricinella vaseyi","Shrub","Gulf Coast Prairies and Marshes","Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley","5","10","3","5","Deciduous","Perennial","Dry, Loam, Well Drained","Sun","Low","Shrubland, Woodland","Spring","Green, White, Yellow","Larval Host","Butterflies","Low maintenance and drought tolerant. Needs protection from cold temperatures, as frost can damage the plant. Hard to find commercially. Responds to training very well as the new year's wood is very pliable. Likes full sun and unimproved soils. Make certain this plant is not situated in a puddle-prone area, as it will not tolerate wet feet. Native habitat: a very small area in South Texas, woodlands, chaparral, arid regions.","Blooms January-June. South Texas native large shrub or small tree. Plants grow into a mostly upright, very unique form similar to Ocotillo. Male and female flowers on separate plants. The fruit is a capsule. Larval host: Mexican Blue Wing butterfly.","1) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28200#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9930&locationType=County&mapType=Normal, 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Adelia+vaseyi&formsubmit=Search+Terms, 4) https://www.wildflower.org/plants/result.php?id_plant=ADVA, 5) https://yournativenursery.com/products/adelia-vaseyi-vaseys-wild-lime, 6) https://www.picturethisai.com/care/Adelia_vaseyi.html, 7) https://www.stbctmn.org/post/plant-for-butterflies-plant-for-caterpillars-trees-and-shrubs-to-plant-during-cool-weather#:~:text=Western%20Giant%20Swallowtail%20on%20Colima,nectar%20during%20the%20colder%20months  8) https://fsus.ncbg.unc.edu/main.php?pg=show-taxon-detail.php&taxonid=8240  9) https://www.nativeplants.info/plant/magnoliophyta-flowering-plants/euphorbiaceae/adelia/adelia_vaseyi.html"
"Adiantum capillus-veneris","Common Maidenhair Fern","https://www.npsot.org/posts/native-plant/adiantum-capillus-veneris/","Southern Maidenhair Fern, Maidenhair Fern, Venus Hair Fern","Adiantum capillus-veneris var. modestum, Adiantum capillus-veneris var. protrusum, Adiantum modestum","Ferns & Allies, Groundcover","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Northern Nueces Alluvial Plains, Semiarid Edwards Bajada, Caprock Canyons Badlands Breaks, Flat Tablelands and Valleys, Floodplains and Low Terraces, Northern Blackland Prairie, Southern Blackland Prairie","0.5","1.75","0.75","1.5","Semi Evergreen","Perennial","Limestone, Loam, Moist, Well Drained","Sun, Part Shade","Medium, High","Riparian","No Bloom","No Bloom","Nesting Material","Birds, Small Mammals","Likes moisture year-round, but needs good drainage. Makes a lush ground cover in the right circumstances, or bog edge plant. It is often used in crevices of rock walls and well-drained cobbles, especially in cool, north exposures. Without sufficient water, it will go dormant by July. Dead foliage can be cut back whenever necessary to keep plants fresh looking. Can be grown in container gardens and hanging baskets. Native habitat: moist calcareous cliffs, banks, and ledges along streams and rivers, walls of lime sinks, canyon walls.","Fine, lacy fronds, and delicate black stems arise from creeping rhizomes. Maidenhair Fern lacks a fan-like growth pattern found in other ferns. Leaf retention depends on the region. Provides good hiding places for ground-feeding birds and small mammals. Songbirds may use dried fern fronds to line their nests.","1) Griffith, Bryce, Omernick & Rodgers (2007). 2) https://www.wildflower.org/plants/result.php?id_plant=ADCA. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Adiantum+capillus-veneris&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=20426&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 97. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=17308#null, 7) https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285802&isprofile=0&n=1, 8) https://www.gardenia.net/plant/adiantum-capillus-veneris#:~:text=Adiantum%20capillus%2Dveneris%20(Southern%20Maidenhair%20Fern)%20is%20a,in%20clusters%20from%20a%20short%20creeping%20rhizome."
"Aesculus glabra","Texas Buckeye","https://www.npsot.org/posts/native-plant/aesculus-glabra/","Ohio Buckeye, Fetid Buckeye, Horse Chestnut","","Tree","Cross Timbers, Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Balcones Canyonlands, Floodplains and Low Terraces, Northern Blackland Prairie, Tertiary Uplands","30","50","30","40","Deciduous","Perennial","Clay, Limestone, Moist, Rich, Sand, Well Drained","Sun, Part Shade, Shade","Medium","Riparian, Woodland","Spring","Brown, White, Yellow","Fall Color, Nectar, Seeds","Hummingbirds, Small Mammals","Is often used as an ornamental because of its interesting fruit and bright orange fall foliage. It can be difficult to grow grass under Ohio buckeye because of the dense foliage. It is one of the first trees to leaf out in the spring and lose its foliage in fall. In drought situations, leaf blotch and leaf scorch can be a problem and may drop leaves, Size depends on whether it is grown as understory or in sunnier areas. WARNING: all parts of plant are poisonous. Native habitat: wet mesic woods, bottomland forests, rich woods, and floodplains. 
","Blooms March-May. Branches bend toward the ground then arch back up, creating a rounded outline. The bark is yellowish brown and smooth to scaly when young, becoming furrowed with short ridges or plates. Dense, attractive foliage is palmately compound. with 7, 9, or 11 leaflets that are green above and pale below, and give off an unpleasant odor when crushed.. Flowers grow in loose, erect clusters at the ends of the twigs. The egg shaped fruit is encased in a spiny, splitting husk (capsule).","1) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28718#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22757&locationType=County&mapType=Normal, 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Aesculus+glabra&formsubmit=Search+Terms, 4) https://www.wildflower.org/plants/result.php?id_plant=AEGL"
"Aesculus pavia var. flavescens","Texas Yellow Buckeye","https://www.npsot.org/posts/native-plant/aesculus-pavia-var-flavescens/","Yellow Woolly Buckeye, Pale Buckeye, Plateau Yellow Buckeye, Edwards Plateau Buckeye","Aesculus discolor var. flavescens","Shrub, Tree","Edwards Plateau","Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift","5","15","6","10","Deciduous","Perennial","Limestone, Moist, Rocky, Well Drained","Part Shade","Low, Medium","Woodland","Spring","Yellow","Flowers, Nectar, Pollen","Bees, Butterflies, Hummingbirds","Endemic to Edwards Plateau of central Texas.  It grows under the shade of taller trees, This variety shares its species tendency to lose its leaves by the end of summer. Water during prolonged drought to delay leaf loss. WARNING: Seeds and young shoots poisonous if ingested. The seeds are also toxic and are avoided by most wildlife, although squirrels are able to eat them. Native habitat: shaded woods, hillsides, slopes, and thickets, often on northern exposures.","Blooms March. The glossy, dark green leaves are broad, palmate. Its long, yellow, tubular flowers are borne on upright panicles 6 to 10 inches long. The fruit is a brown capsule 1 to 2 inches  Inside the capsule are 1 to 3 shiny seeds with pale scares and are called buckeyes because they resemble the eye of a buck. ","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=182119#null  2) https://www.wildflower.org/plants/result.php?id_plant=aepaf  3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=30537&locationType=County&mapType=Normal  4) https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133836/Aesculus_pavia_var_flavescens  5) https://fsus.ncbg.unc.edu/main.php?pg=show-taxon-detail.php&taxonid=67521  6) https://gnps.org/2014-plant-year-aesculus-pavia/  7) "
"Aesculus pavia var. pavia","Red Buckeye","https://www.npsot.org/posts/native-plant/aesculus-pavia-var-pavia/","Scarlet Buckeye, Southern Buckeye, Firecracker Plant","Aesculus austrina, Aesculus discolor, Aesculus discolor var. mollis, Aesculus pavia var. discolor, Aesculus splendens","Shrub, Tree","Central Great Plains, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Limestone Plains, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Floodplains and Low Terraces, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Northern Blackland Prairie, Southern Blackland Prairie, Southern Tertiary Uplands, Tertiary Uplands","10","15","6","12","Deciduous","Perennial","Calcareous, Clay, Dry, Loam, Moist, Sand, Well Drained","Part Shade","Medium","Woodland","Spring","Red, Yellow","Nectar, Nuts, Pollen","Bees, Butterflies, Hummingbirds, Small Mammals","Moderate to slow growth rate. In nature it most often grows in woodland edges, where it can get morning sun and afternoon shade. For a planned landscape, it should be placed where it won't be prominent after July, as it loses its leaves by the end of summer. It may hybridize with the yellow-flowered var. A. flavescens. Can be pruned for shape if desired. Native habitat: thickets, hillsides, slopes, shaded woods, and river banks in dappled shade.","Blooms March-May. Forms a shrub or small tree, with smooth gray to brown bark on young branches, that become rough with age. Large leaves are palmately divided into 5 leaflets with serrate margins. Large, showy, red, tube-shaped flowers grow in clusters. The fruit is a rounded, brown capsule, with a slightly roughened surface, containing 1 to 3 shiny seeds. Although still listed by some in the Hippocastanaceae Family, the majority of botanical organizations now list it in the Sapindaceae Family.","1) https://www.wildflower.org/plants/result.php?id_plant=AEPAP. 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=30536&locationType=County&mapType=Normal. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 278. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=182118#null, 5) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014."
"Agalinis heterophylla","Prairie False Foxglove","https://www.npsot.org/posts/native-plant/agalinis-heterophylla/","Prairie Agalinis","Gerardia heterophylla","Herbaceous","Cross Timbers, East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Coastal Sand Plain, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods","1","3","1","3","Deciduous","Annual","Clay, Loam, Moist, Rocky, Sand","Part Shade","Low, Medium","Grassland, Woodland Edge","Summer, Fall","Pink, Purple","Forage, Larval Host, Nectar","Bees, Browsers, Butterflies","Easy maintenance. Grows in a variety of soils. Drought tolerant but does best with weekly watering, preferring environments that mimic the intermittent rainfall of its natural habitat. It may go dormant during hot, dry weather. It’s name means “grass killer”, as it can shadow and suppress lower growing grasses. Native habitat: prairies and woodland edges. ","Blooms June-October. Stems erect, with numerous, spreading to ascending branches. The stems turn black in the fall. Leaves are linear to lance-shaped, the lower leaves sometimes deeply 3-lobed. The tubular flower is light pink to purple, with spotted throat, and prominent lobes. The fruit a capsule. Larval host: Buckeye Butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=AGHE4. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=16277&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=33027#null, 5) https://houstonaudubon.org/sanctuaries/bolivar-flats/bolivar/prairie-gerardia.html, 6) https://www.missouriplants.com/Agalinis_heterophylla_page.html, 7) https://rangeplants.tamu.edu/plant/prairie-gerardia-prairie-agalinis/, 8) http://www.texaswildbuds.com/agalinis-heterophylla.html, 9) https://www.picturethisai.com/care/Agalinis_heterophylla.html"
